run,step,harness,tool_call_bin,cells,score
Native OpenCode,700,mini-swe-agent,3–8,44,0.7272727272727273
Native OpenCode,700,mini-swe-agent,9–16,99,0.41414141414141414
Native OpenCode,700,mini-swe-agent,17–24,107,0.028037383177570093
Native OpenCode,700,opencode,0–2,3,0.0
Native OpenCode,700,opencode,3–8,154,0.2987012987012987
Native OpenCode,700,opencode,9–16,91,0.0
Native OpenCode,700,opencode,17–24,2,0.0
Native OpenCode,800,claude-code,0–2,5,0.0
Native OpenCode,800,claude-code,3–8,106,0.5566037735849056
Native OpenCode,800,claude-code,9–16,62,0.3387096774193548
Native OpenCode,800,claude-code,17–24,77,0.012987012987012988
Native OpenCode,800,codex,0–2,2,0.0
Native OpenCode,800,codex,3–8,30,0.6
Native OpenCode,800,codex,9–16,53,0.4528301886792453
Native OpenCode,800,codex,17–24,165,0.01818181818181818
Native OpenCode,800,mini-swe-agent,3–8,42,0.8095238095238095
Native OpenCode,800,mini-swe-agent,9–16,81,0.49382716049382713
Native OpenCode,800,mini-swe-agent,17–24,127,0.047244094488188976
Native OpenCode,800,opencode,0–2,4,0.0
Native OpenCode,800,opencode,3–8,158,0.27848101265822783
Native OpenCode,800,opencode,9–16,84,0.07142857142857142
Native OpenCode,800,opencode,17–24,4,0.0
Native OpenCode,900,claude-code,0–2,8,0.125
Native OpenCode,900,claude-code,3–8,117,0.48717948717948717
Native OpenCode,900,claude-code,9–16,54,0.4444444444444444
Native OpenCode,900,claude-code,17–24,71,0.04225352112676056
Native OpenCode,900,codex,0–2,1,0.0
Native OpenCode,900,codex,3–8,27,0.4074074074074074
Native OpenCode,900,codex,9–16,40,0.475
Native OpenCode,900,codex,17–24,182,0.03296703296703297
Native OpenCode,900,mini-swe-agent,3–8,34,0.7941176470588235
Native OpenCode,900,mini-swe-agent,9–16,98,0.5204081632653061
Native OpenCode,900,mini-swe-agent,17–24,118,0.059322033898305086
Native OpenCode,900,opencode,0–2,14,0.14285714285714285
Native OpenCode,900,opencode,3–8,163,0.25766871165644173
Native OpenCode,900,opencode,9–16,69,0.043478260869565216
Native OpenCode,900,opencode,17–24,4,0.0
Native OpenCode,1000,claude-code,0–2,3,0.0
Native OpenCode,1000,claude-code,3–8,116,0.5172413793103449
Native OpenCode,1000,claude-code,9–16,52,0.38461538461538464
Native OpenCode,1000,claude-code,17–24,79,0.0379746835443038
Native OpenCode,1000,codex,0–2,1,0.0
Native OpenCode,1000,codex,3–8,27,0.5925925925925926
Native OpenCode,1000,codex,9–16,71,0.5633802816901409
Native OpenCode,1000,codex,17–24,151,0.11920529801324503
Native OpenCode,1000,mini-swe-agent,3–8,34,0.7647058823529411
Native OpenCode,1000,mini-swe-agent,9–16,107,0.5514018691588785
Native OpenCode,1000,mini-swe-agent,17–24,109,0.045871559633027525
Native OpenCode,1000,opencode,3–8,130,0.3076923076923077
Native OpenCode,1000,opencode,9–16,110,0.1
Native OpenCode,1000,opencode,17–24,10,0.0
