run,step,harness,cells,score,model_calls,tool_calls,tool_calls_median,tool_calls_p90,repeats,repeat_fraction,repeat_rollout_fraction,short_tool_fraction,budget_fraction,python_fraction,answer_path_fraction,tool_error_text_fraction,submission_fraction,submission_observations,trainable_tokens,wall_s,retry_cells,training_rows,packed_tokens
Native OpenCode,800,codex,250,0.18,14.792,14.496,17.0,17.0,0.552,0.03512954953543188,0.32,0.008,0.688,0.976,0.412,0.588,0.3488372093023256,86,2570.196,144.53616,0,1.376,17461.052
Native OpenCode,800,mini-swe-agent,250,0.32,14.352,13.776,17.0,17.0,0.464,0.03996033019268313,0.344,0.0,0.616,0.996,0.552,0.804,0.6046511627906976,86,3235.884,93.91984,0,2.104,23560.276
Native OpenCode,800,opencode,250,0.2,9.772,8.084,5.5,16.0,0.204,0.013540849673202616,0.116,0.016,0.26,0.964,0.768,0.64,0.8255813953488372,86,1740.452,127.32356,0,1.904,53123.66
Native OpenCode,900,claude-code,250,0.34,10.984,10.08,8.5,17.0,0.4,0.027455024060906413,0.192,0.032,0.324,0.888,0.7,0.688,0.7674418604651163,86,3712.704,133.01479999999998,0,10.972,444943.16
Native OpenCode,900,codex,250,0.144,15.312,15.088,17.0,17.0,0.72,0.04548971003197009,0.396,0.004,0.74,0.984,0.308,0.604,0.313953488372093,86,2710.16,143.14632,0,1.296,16285.736
Native OpenCode,900,mini-swe-agent,250,0.34,14.636,13.84,16.0,17.0,0.672,0.057749588320176556,0.388,0.0,0.608,1.0,0.596,0.78,0.5581395348837209,86,3245.656,91.29476,2,2.124,24792.192
Native OpenCode,900,opencode,250,0.188,8.824,7.112,5.0,16.0,0.2,0.015833851116204056,0.132,0.056,0.164,0.94,0.784,0.628,0.8372093023255814,86,1355.404,121.87132000000001,1,1.996,59466.748
Native OpenCode,1000,claude-code,250,0.332,11.224,10.528,10.0,17.0,0.496,0.03395395028088526,0.26,0.012,0.336,0.94,0.752,0.748,0.7558139534883721,86,3596.888,133.73032,0,11.224,449093.488
Native OpenCode,1000,codex,250,0.296,14.788,14.46,17.0,17.0,0.512,0.03377497992203875,0.324,0.004,0.632,1.0,0.604,0.864,0.5232558139534884,86,2098.572,147.44584,0,4.988,66343.82
Native OpenCode,1000,mini-swe-agent,250,0.36,14.684,13.736,15.0,17.0,0.836,0.06810367149190678,0.424,0.0,0.6,0.996,0.656,0.724,0.7790697674418605,86,2917.784,98.07616,0,5.208,63338.732
Native OpenCode,1000,opencode,250,0.204,10.732,9.148,8.0,16.0,1.244,0.10633702735173323,0.532,0.0,0.268,0.98,0.804,0.68,0.7906976744186046,86,1625.788,127.7836,0,6.152,162860.536
